tar,c,s,humidity,s112,s112_315,s315
14020915,83.47,0.93,0.0,2.67,94.33,3.0
14020916,83.05,0.9,0.0,2.0,95.0,3.0
14020925,83.18,0.85,0.0,2.25,94.75,3.0
14020927,81.27,0.9,0.0,4.67,93.83,1.5
14020928,82.0,1.02,0.0,2.5,94.67,2.83
14020930,81.64,0.98,0.0,2.6,94.2,3.2
14021004,81.93,1.03,0.0,2.0,98.0,0.0
14021005,81.63,1.3,0.0,3.33,96.67,0.0
14021006,83.75,0.9,0.0,2.5,97.5,0.0
14021010,82.33,0.9,0.0,3.0,97.0,0.0
14021011,82.3,0.8,0.0,5.0,95.0,0.0
14021013,83.3,0.8,0.0,3.0,97.0,0.0
14021014,80.8,1.3,0.0,3.0,97.0,0.0
14021016,82.38,0.94,0.0,2.8,97.2,0.0
14021017,82.97,1.0,0.0,2.0,98.0,0.0
14021024,83.03,0.83,0.0,2.33,97.67,0.0
14021025,82.38,0.92,0.0,3.75,96.0,0.25
14021026,82.08,1.0,0.0,2.5,96.75,0.75
14021027,82.45,1.02,0.0,2.75,97.25,0.0
14021028,82.2,1.0,0.0,3.0,96.5,0.5
14021104,83.23,0.63,0.0,3.33,96.67,0.0
14021105,83.32,0.78,0.0,2.8,94.6,2.6
14021107,81.22,0.96,0.0,2.6,96.6,0.8
14021108,80.37,1.0,0.0,2.33,94.33,3.33
14021109,83.4,0.9,0.0,2.33,95.0,2.67
14021110,83.6,0.93,0.0,2.33,94.67,3.0
14021111,83.6,1.0,0.0,2.5,94.5,3.0
14021126,81.28,1.18,0.0,2.67,95.17,2.17
14021128,80.71,1.37,0.0,3.57,94.14,2.29
14021129,81.1,1.02,0.0,4.0,94.8,1.2
14021130,81.1,1.13,0.0,2.33,94.33,3.33
14021201,80.77,1.23,0.0,3.0,94.0,3.0
14021202,80.8,1.17,0.0,2.14,95.57,2.29
14021205,80.5,1.22,0.0,4.44,94.56,1.0
14021206,80.43,1.3,0.0,5.0,93.67,1.33
14021208,80.65,1.3,0.0,3.67,94.0,2.33
14021209,80.92,1.32,0.0,1.25,90.5,8.25
14021210,80.35,1.35,0.0,4.5,94.0,1.5
14021213,80.86,1.36,0.0,3.43,94.57,2.0
14021214,81.05,1.35,0.0,3.5,94.5,2.0
14021215,80.93,1.36,0.0,3.43,94.29,2.29
14021216,80.85,1.23,0.0,2.5,93.75,3.75
14021217,80.83,1.36,0.0,3.45,94.36,2.18
14021218,82.23,1.07,0.0,3.11,94.67,2.22
14021227,80.4,1.5,0.0,1.0,98.0,1.0
14030106,81.5,1.5,0.8,2.0,97.0,1.0
14030107,80.0,1.5,5.3,1.0,98.0,1.0
14030108,80.15,1.5,0.75,1.0,98.0,1.0
14030109,80.7,1.5,3.0,3.0,96.0,1.0
14030110,80.2,1.5,0.6,4.0,95.0,1.0
14030115,80.55,1.5,1.1,1.5,97.5,1.0
14030116,80.5,1.42,0.8,1.5,97.5,1.0
14030119,80.2,1.5,2.9,2.0,97.0,1.0
14030120,80.75,1.45,0.25,2.0,97.0,1.0
14030125,80.3,1.4,0.0,1.5,97.5,1.0
14030126,81.0,1.4,0.0,1.0,98.0,1.0
14030127,80.1,1.45,0.0,3.0,96.0,1.0
14030128,80.4,1.4,0.0,1.0,98.0,1.0
14030129,80.1,1.4,0.0,3.0,96.0,1.0
